beer_name,review_overall,review_aroma,review_appearance,review_palate,review_taste,beer_abv,beer_style,brewery_name,review_count,style_embed
"""100"" Pale Ale",4.0,4.0,3.5,4.0,4.0,6.6,American IPA,Aviator Brewing Company,1,-0.28257158398628235
"""33"" Export",3.0,3.0,3.0,3.1666666666666665,3.0,4.8,Dortmunder / Export Lager,Baltika-Baku,3,0.390900582075119
"""76"" Anniversary Ale",4.0,4.166666666666667,3.6666666666666665,4.0,4.166666666666667,7.599999999999999,Old Ale,Bootlegger's Brewery,3,-0.208486407995224
"""76"" Anniversary Ale With English Hops",4.0,4.0,3.5,4.0,4.5,7.6,Old Ale,Bootlegger's Brewery,1,-0.208486407995224
"""Fade To Black"" Porter",4.0,4.0,4.0,3.0,4.0,5.6,English Porter,John Harvard's Brewery & Ale House,1,0.3505847454071045
"""Great Satchmo"" Stout",4.0,4.0,4.0,4.0,4.0,4.5,American Stout,CB's Brewing Company,1,-0.22222724556922913
"""Jessica & Brendan's"" Bridal Ale",2.9166666666666665,2.5833333333333335,3.1666666666666665,3.0,2.3333333333333335,5.0,American Amber / Red Ale,Moylan's Brewery,6,-0.3161865174770355
"""Just One More"" Scotch Ale",3.625,4.0,3.875,3.875,3.625,10.5,Scotch Ale / Wee Heavy,Port Brewing Company / Pizza Port,4,-0.21013888716697693
"""Nein Toll Bier"" German Alt",4.0,4.0,3.5,3.5,3.0,5.4,Altbier,John Harvard's Brewery & Ale House,1,0.5084108114242554
"""O Smokey Night""",3.5,4.0,4.0,4.0,4.0,7.2,Smoked Beer,Ladyface Ale Companie,1,0.0705898255109787
"""Old Yeltsin"" Imperial Stout",3.881818181818182,4.090909090909091,4.045454545454546,4.009090909090909,4.109090909090909,9.0,Russian Imperial Stout,Hoptown Brewing Company,55,-0.049226313829422
"""Requisite"" Imperialistic Stout",3.7857142857142856,3.642857142857143,3.642857142857143,3.9285714285714284,3.857142857142857,9.0,American Double / Imperial Stout,Stillwater Artisanal Ales,7,-0.21776482462882996
"""Shabadoo"" Black & Tan Ale",3.9914529914529915,3.717948717948718,3.893162393162393,3.8461538461538463,3.9017094017094016,6.3,Black & Tan,Berkshire Brewing Company Inc.,117,0.1777336448431015
