State,2012 Craft Barrels,2011 Craft Barrels,Barrel Growth,Population,Craft Breweries,Capita/ Craft Brewery,Total Breweries,Total Capita/ Breweries
CA,2453793.0,2020246.0,0.21460109313420248,37253956.0,316.0,117892.26582278482,325.0,114627.55692307692
PA,1626116.0,1547114.0,0.05106411033705338,12702379.0,102.0,124533.12745098039,107.0,118713.82242990655
CO,1291771.0,1185354.0,0.089776556201776,5029196.0,151.0,33305.93377483444,154.0,32657.116883116883
OH,980969.0,973804.0,0.007357743447346694,11536504.0,58.0,198905.24137931035,62.0,186072.64516129033
OR,764226.0,659598.0,0.1586238890960858,3831074.0,140.0,27364.814285714285,143.0,26790.727272727272
NY,724984.0,638110.0,0.13614267132626037,19378102.0,88.0,220205.70454545456,92.0,210631.54347826086
TX,713712.0,624903.0,0.14211645647404478,25145561.0,84.0,299351.9166666667,86.0,292390.24418604653
MI,438383.0,356780.0,0.2287207803127978,9883640.0,122.0,81013.44262295082,122.0,81013.44262295082
WI,398811.0,388025.0,0.027797178016880357,5686986.0,83.0,68517.90361445783,87.0,65367.65517241379
MN,308370.0,170102.0,0.812853464391953,5303925.0,47.0,112849.46808510639,48.0,110498.4375
MA,291206.0,234601.0,0.24128200647056067,6547629.0,47.0,139311.25531914894,47.0,139311.25531914894
WA,291107.0,235532.0,0.23595519929351425,6724540.0,158.0,42560.379746835446,161.0,41767.32919254658
MO,268003.0,229648.0,0.1670164773914861,5988927.0,45.0,133087.26666666666,47.0,127423.97872340426
ME,249158.0,229659.0,0.08490414048654744,1328361.0,37.0,35901.64864864865,37.0,35901.64864864865
VT,204693.0,199830.0,0.024335685332532653,625741.0,25.0,25029.64,26.0,24066.96153846154
DE,180794.0,153958.0,0.17430727860845166,897934.0,9.0,99770.44444444444,10.0,89793.4
AK,170610.0,157107.0,0.08594779354198094,710231.0,22.0,32283.227272727272,22.0,32283.227272727272
LA,169484.0,137121.0,0.2360178236739814,4533372.0,8.0,566671.5,8.0,566671.5
NC,159033.0,119253.0,0.33357651379839504,9353483.0,70.0,133621.1857142857,71.0,131739.1971830986
MD,154650.0,123371.0,0.25353608222353713,5773552.0,30.0,192451.73333333334,30.0,192451.73333333334
GA,153218.0,129813.0,0.1802978130079422,9687310.0,22.0,440332.2727272727,24.0,403637.9166666667
MT,118528.0,107581.0,0.10175588626244411,989415.0,36.0,27483.75,36.0,27483.75
UT,110025.0,86198.0,0.2764217267221977,2763885.0,16.0,172742.8125,16.0,172742.8125
AZ,93103.0,69080.0,0.3477562246670527,6392017.0,44.0,145273.11363636365,44.0,145273.11363636365
FL,92512.0,64531.0,0.4336055539198215,18801310.0,57.0,329847.5438596491,59.0,318666.27118644066
IL,87993.0,64081.0,0.3731527285778936,12830632.0,67.0,191501.97014925373,68.0,188685.76470588235
IN,87321.0,68636.0,0.27223323037473046,6483802.0,54.0,120070.4074074074,54.0,120070.4074074074
VA,84059.0,61440.0,0.36814778645833335,8001024.0,48.0,166688.0,50.0,160020.48
NH,58811.0,43173.0,0.3622171264447687,1316470.0,19.0,69287.8947368421,21.0,62689.04761904762
TN,54077.0,33863.0,0.596934707497859,6346105.0,30.0,211536.83333333334,31.0,204713.06451612903
NM,48213.0,39856.0,0.20967984745082296,2059179.0,27.0,76265.88888888889,27.0,76265.88888888889
NV,45761.0,27712.0,0.6513062933025404,2700551.0,21.0,128597.66666666667,21.0,128597.66666666667
CT,40947.0,23372.0,0.7519681670374807,3574097.0,21.0,170195.09523809524,21.0,170195.09523809524
NJ,37468.0,34507.0,0.0858086765004202,8791894.0,26.0,338149.76923076925,27.0,325625.7037037037
KY,36532.0,25611.0,0.4264183358713053,4339367.0,14.0,309954.78571428574,14.0,309954.78571428574
SC,34496.0,27501.0,0.25435438711319586,4625364.0,16.0,289085.25,16.0,289085.25
ID,30931.0,21700.0,0.42539170506912444,1567582.0,29.0,54054.55172413793,29.0,54054.55172413793
HI,27906.0,24278.0,0.1494357031056924,1360301.0,9.0,151144.55555555556,10.0,136030.1
KS,27063.0,24350.0,0.11141683778234086,2853118.0,19.0,150164.1052631579,19.0,150164.1052631579
IA,21754.0,19390.0,0.12191851469829809,3046355.0,33.0,92313.78787878787,33.0,92313.78787878787
NE,21228.0,19071.0,0.11310366525090451,1826341.0,19.0,96123.21052631579,19.0,96123.21052631579
OK,16123.0,11024.0,0.46253628447024675,3751351.0,10.0,375135.1,10.0,375135.1
MS,14589.0,13580.0,0.07430044182621502,2967297.0,3.0,989099.0,3.0,989099.0
WY,14070.0,10607.0,0.3264825115489771,563626.0,15.0,37575.066666666666,15.0,37575.066666666666
RI,7831.0,7129.0,0.09847103380558284,1052567.0,8.0,131570.875,8.0,131570.875
DC,7815.0,2822.0,1.7693125442948263,601723.0,6.0,100287.16666666667,6.0,100287.16666666667
AL,7274.0,942.0,6.721868365180467,4779736.0,10.0,477973.6,10.0,477973.6
AR,5639.0,4079.0,0.38244667810737926,2915918.0,10.0,291591.8,10.0,291591.8
SD,3934.0,3003.0,0.31002331002331,814180.0,7.0,116311.42857142857,7.0,116311.42857142857
WV,3752.0,3055.0,0.2281505728314239,1852994.0,5.0,370598.8,5.0,370598.8
ND,858.0,950.0,-0.0968421052631579,672591.0,4.0,168147.75,4.0,168147.75
